"Code","AddressNo","Address","Address2","AddressCity","DistrictCode","Country"
"003754","216","#Bukit Batok St 21","BUKIT BATOK STREET 21","650216","","Singapore"
"003753","No","1010","EAST COAST PARKWAY","#66777","","Singapore"
"003752","Blk","1","COUNTRYSIDE ROAD","#456","","Singapore"
"003751","No","216","BUKIT BATOK STREET 21","#Bukit Batok St 21","","Singapore"
"003750","756","JURONG WEST STREET 74","7788","640756","640756","Singapore"
"003749","216","#07-291","Bukit Batok St 21","650216","","Singapore"
"003748","216","#07-291","Bukit Batok St 21","650216","","Singapore"
"003747","216","#07-291","Bukit Batok St 21","650216","","Singapore"
"003746","150","#7878","TAGORE LANE","787565","","Singapore"
"003745","667","CHOA CHU KANG CRESCENT","45454","680667","680667","Singapore"
"003744","No","74","Telok Blangah Heights","#13-301","","Singapore"
"003743","","","","","","Singapore"
"003742","565","#5656","ANG MO KIO AVENUE 3","344455","","Singapore"
"003741","No","768","YISHUN AVENUE 3","#65686","","Singapore"
"003740","No","766","PASIR RIS STREET 71","#676","","Singapore"
"003739","No","766","PASIR RIS STREET 71","#676","510766","Singapore"
"003738","Blk","835","Hougang Central","#10-556","530835","Singapore"
"003737","Blk","835","Hougang Central","#10-556","530835","Singapore"
"003736","1010","#24334","EAST COAST PARKWAY","449892","","Singapore"
"003735","No","1010","EAST COAST PARKWAY","#24334","","Singapore"
